epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3311.02,1.15126,2.77597,1.60117,0.73167,0.21475,0.19163,0.08087,1.91967,2.81071,2.30021,0.000302498,0.000302498,0.000302498
2,7315.32,1.10096,1.61408,1.57071,0.76591,0.2202,0.26062,0.10575,1.91625,2.13426,2.3272,0.000545553,0.000545553,0.000545553
3,11037.4,1.07294,1.32361,1.56228,0.76867,0.2066,0.20741,0.0854,2.02274,2.12958,2.44162,0.000728615,0.000728615,0.000728615
4,14864.1,1.02968,1.1831,1.51279,0.55627,0.33026,0.29249,0.13338,1.86226,1.84992,2.21075,0.000639027,0.000639027,0.000639027
5,18009.4,0.9707,1.03903,1.45259,0.32805,0.31142,0.29113,0.12876,1.88318,1.84482,2.19589,0.000549036,0.000549036,0.000549036
6,20961.4,0.90566,0.94811,1.39547,0.41153,0.39173,0.4475,0.20571,1.88666,1.75744,2.17672,0.000459045,0.000459045,0.000459045
7,23989.4,0.86406,0.86279,1.35297,0.50605,0.40622,0.45731,0.20216,1.78426,1.62458,2.06405,0.000369054,0.000369054,0.000369054
8,27057.3,0.8278,0.78329,1.31324,0.58362,0.43572,0.4847,0.2375,1.8296,1.54283,2.13806,0.000279063,0.000279063,0.000279063
9,30039.6,0.78454,0.71998,1.27832,0.62711,0.51553,0.5954,0.31912,1.66595,1.29092,1.96669,0.000189072,0.000189072,0.000189072
10,33033.6,0.7548,0.66124,1.25089,0.50605,0.55909,0.59493,0.30982,1.72312,1.39665,2.00866,9.9081e-05,9.9081e-05,9.9081e-05
